date,farm_id,weight
S1RGVH,Farm 118,17529
2019-10-1,Farm 119,2649
2019-10-1,Farm 120,11906
2019-10-1,Farm 121,3739
2019-10-1,Farm 122,WGVVB7
2019-10-2,8TX1QV,17506
L57Z0C,Farm 119,2571
2019-10-2,Farm 120,KI9CA4
2019-10-2,Farm 121,3805
2019-10-2,Farm 122,17516
2019-10-3,Farm 118,INN747
2019-10-3,Farm 119,2534
2019-10-3,Farm 120,11969
2019-10-3,Farm 121,3875
2019-10-3,Farm 122,17494
U8XT6D,Farm 118,17477
2019-10-4,Farm 119,2579
2019-10-4,S5IH0R,11815
GXIZCC,Farm 121,3583
2019-10-4,Farm 122,17432
2019-10-5,Farm 118,E23CMW
2019-10-5,Farm 119,2526
2019-10-5,Farm 120,11842
2019-10-5,Farm 121,3784
2019-10-5,Farm 122,17583
2019-10-6,Farm 118,17440
2019-10-6,Farm 119,2596
2019-10-6,Farm 120,11954
2019-10-6,Farm 121,3783
2019-10-6,Farm 122,17551
2019-10-7,Farm 118,17432
2019-10-7,Farm 119,2573
2019-10-7,Farm 120,11972
2019-10-7,Farm 121,3668
2019-10-7,Farm 122,17474
2019-10-8,Farm 118,17532
2019-10-8,Farm 119,2644
2019-10-8,Farm 120,11885
2019-10-8,Farm 121,3720
2019-10-8,Farm 122,17521
2019-10-9,Farm 118,17448
2019-10-9,Farm 119,HJYTVO
2019-10-9,Farm 120,11946
2019-10-9,Farm 121,U0H4MO
2019-10-9,Farm 122,17484
2019-10-10,Farm 118,17562
2019-10-10,Farm 119,2541
2019-10-10,Farm 120,JCSCO8
2019-10-10,Farm 121,3577
2019-10-10,Farm 122,17616
2019-10-11,Farm 118,17454
2019-10-11,Farm 119,2603
2019-10-11,Farm 120,8RL9C9
2019-10-11,Farm 121,3761
2019-10-11,Farm 122,17438
2019-10-12,Farm 118,17494
2019-10-12,SUFUD6,2610
2019-10-12,Farm 120,11845
2019-10-12,Farm 121,3817
2019-10-12,Farm 122,17357
2019-10-13,Farm 118,EEGCGD
2019-10-13,Farm 119,2636
2019-10-13,Farm 120,11883
O96F8J,Farm 121,3526
2019-10-13,Farm 122,17494
2019-10-14,Farm 118,17421
2019-10-14,Farm 119,2513
2019-10-14,24T05G,11901
2019-10-14,Farm 121,3762
2019-10-14,Farm 122,17473
2019-10-15,Farm 118,17456
2019-10-15,Farm 119,2591
2019-10-15,Farm 120,12024
2019-10-15,Farm 121,3689
2019-10-15,Farm 122,17599
2019-10-16,Farm 118,17516
2019-10-16,Farm 119,2634
I0STB2,Farm 120,11862
2019-10-16,Farm 121,3660
2019-10-16,Farm 122,17545
2019-10-17,Farm 118,17534
2019-10-17,Farm 119,2669
2019-10-17,Farm 120,11902
2019-10-17,Farm 121,3857
2019-10-17,Farm 122,17598
2019-10-18,1ZZOZJ,17531
2019-10-18,Farm 119,2671
2019-10-18,Farm 120,11971
2019-10-18,Farm 121,GD82GU
2019-10-18,Farm 122,7WIQLC
K7SQ04,Farm 118,17550
2019-10-19,Farm 119,2655
2019-10-19,Farm 120,11946
2019-10-19,Farm 121,3683
2019-10-19,Farm 122,17646
2019-10-20,Farm 118,17669
2019-10-20,Farm 119,2557
2019-10-20,Farm 120,11832
2019-10-20,Farm 121,0S3KNB
2019-10-20,Farm 122,17478
2019-10-21,Farm 118,17433
2019-10-21,Farm 119,2513
2019-10-21,Farm 120,11890
2019-10-21,Farm 121,3686
2019-10-21,Farm 122,17498
2019-10-22,Farm 118,17444
2019-10-22,Farm 119,2571
2019-10-22,Farm 120,RS3T86
2019-10-22,Farm 121,3798
2019-10-22,Farm 122,17627
2019-10-23,Farm 118,17430
2019-10-23,Farm 119,2653
2019-10-23,Farm 120,11997
2019-10-23,Farm 121,3848
2019-10-23,Farm 122,17430
M4QMZ7,Farm 118,17368
2019-10-24,Farm 119,2593
2019-10-24,Farm 120,12020
2019-10-24,Farm 121,3692
2019-10-24,Farm 122,17573
2019-10-25,Farm 118,17492
2019-10-25,Farm 119,2386
2019-10-25,Farm 120,11896
2019-10-25,Farm 121,3781
2019-10-25,Farm 122,17596
2019-10-26,Farm 118,17459
2019-10-26,Farm 119,PTHSXD
2019-10-26,Farm 120,11982
2019-10-26,Farm 121,3699
2019-10-26,Farm 122,17542
2019-10-27,Farm 118,17420
2019-10-27,Farm 119,2593
2019-10-27,Farm 120,11902
2019-10-27,Farm 121,3812
2019-10-27,Farm 122,17526
2019-10-28,Farm 118,17488
2019-10-28,Farm 119,2614
2019-10-28,Farm 120,11964
2019-10-28,Farm 121,3664
2019-10-28,Farm 122,17397
2019-10-29,Farm 118,17338
2019-10-29,Farm 119,2604
2019-10-29,Farm 120,11962
2019-10-29,Farm 121,3876
2019-10-29,Farm 122,17534
2019-10-30,Farm 118,17484
82LU95,Farm 119,2535
2019-10-30,Farm 120,11924
2019-10-30,Farm 121,3727
2019-10-30,Farm 122,CMKBQS
2019-10-31,Farm 118,17447
2019-10-31,Farm 119,2565
2019-10-31,Farm 120,12012
2019-10-31,Farm 121,3698
2019-10-31,Farm 122,17360
