date,farm_id,weight
2019-1-1,Farm 18,2461
2019-1-1,Farm 19,1984
2019-1-1,Farm 20,11891
2019-1-1,Farm 21,4048
2019-1-1,Farm 22,16558
2019-1-1,Farm 23,10346
2019-1-1,Farm 25,17566
2019-1-1,Farm 26,17170
2019-1-1,Farm 27,3004
2019-1-1,Farm 28,17440
2019-1-1,Farm 30,11734
2019-1-1,Farm 31,9852
2019-1-1,Farm 32,2611
2019-1-1,Farm 33,2048
2019-1-1,Farm 34,2982
2019-1-1,Farm 35,16731
2019-1-1,Farm 37,6669
2019-1-1,Farm 38,17600
2019-1-1,Farm 39,2292
2019-1-1,Farm 40,16090
2019-1-1,Farm 41,17892
2019-1-1,Farm 42,16281
2019-1-1,Farm 43,2930
2019-1-1,Farm 45,9374
2019-1-1,Farm 46,10049
2019-1-1,Farm 47,11015
2019-1-1,Farm 48,3130
2019-1-1,Farm 50,17487
2019-1-1,Farm 51,6288
2019-1-1,Farm 52,6817
2019-1-1,Farm 53,10539
2019-1-1,Farm 54,8038
2019-1-1,Farm 55,16872
2019-1-1,Farm 57,6832
2019-1-1,Farm 58,17759
2019-1-1,Farm 59,17057
2019-1-1,Farm 60,8916
2019-1-1,Farm 61,17557
2019-1-1,Farm 62,9363
2019-1-1,Farm 63,17346
2019-1-1,Farm 64,16928
2019-1-1,Farm 65,6111
2019-1-1,Farm 67,17050
2019-1-1,Farm 68,10241
2019-1-1,Farm 69,8897
2019-1-1,Farm 70,3321
2019-1-1,Farm 71,11124
2019-1-1,Farm 72,17961
2019-1-1,Farm 73,2732
2019-1-1,Farm 74,6685
2019-1-1,Farm 75,7622
2019-1-1,Farm 76,3884
2019-1-1,Farm 77,10153
2019-1-1,Farm 78,8346
2019-1-1,Farm 80,8437
2019-1-1,Farm 81,10879
2019-1-1,Farm 82,2924
2019-1-1,Farm 83,8218
2019-1-1,Farm 84,2120
2019-1-1,Farm 85,9523
2019-1-1,Farm 86,2577
2019-1-1,Farm 89,3438
2019-1-1,Farm 90,16118
2019-1-1,Farm 91,9170
2019-1-1,Farm 92,3473
2019-1-1,Farm 93,17032
2019-1-1,Farm 94,3339
2019-1-1,Farm 97,3640
2019-1-1,Farm 98,16469
2019-1-1,Farm 99,11718
2019-1-1,Farm 100,9072
2019-1-1,Farm 101,7718
2019-1-1,Farm 102,17314
2019-1-1,Farm 103,2547
2019-1-1,Farm 104,2832
2019-1-1,Farm 106,8659
2019-1-1,Farm 107,8557
2019-1-1,Farm 109,3502
2019-1-1,Farm 110,3803
2019-1-1,Farm 111,2661
2019-1-1,Farm 112,17397
2019-1-1,Farm 115,8663
2019-1-1,Farm 116,11236
2019-1-1,Farm 117,3801
2019-1-2,Farm 18,2310
2019-1-2,Farm 19,1942
2019-1-2,Farm 20,11808
2019-1-2,Farm 21,3961
2019-1-2,Farm 22,16517
2019-1-2,Farm 23,10322
2019-1-2,Farm 24,7307
2019-1-2,Farm 25,17504
2019-1-2,Farm 26,17073
2019-1-2,Farm 27,3156
2019-1-2,Farm 28,17642
2019-1-2,Farm 29,9020
2019-1-2,Farm 30,11693
2019-1-2,Farm 31,9857
2019-1-2,Farm 32,2407
2019-1-2,Farm 33,1936
2019-1-2,Farm 34,2954
2019-1-2,Farm 35,16749
2019-1-2,Farm 36,4018
2019-1-2,Farm 37,6861
2019-1-2,Farm 38,17567
2019-1-2,Farm 39,2247
2019-1-2,Farm 40,16045
2019-1-2,Farm 41,17858
2019-1-2,Farm 42,16312
2019-1-2,Farm 43,3172
2019-1-2,Farm 44,8363
2019-1-2,Farm 45,9304
2019-1-2,Farm 46,10195
2019-1-2,Farm 47,10970
2019-1-2,Farm 48,3090
2019-1-2,Farm 49,10601
2019-1-2,Farm 50,17365
2019-1-2,Farm 51,6268
2019-1-2,Farm 52,6765
2019-1-2,Farm 53,10577
2019-1-2,Farm 54,7977
2019-1-2,Farm 55,16919
