date,farm_id,weight
2019-8-1,Farm 3,16669
2019-8-1,Farm 4,6892
2019-8-1,Farm 5,3486
2019-8-1,Farm 8,16130
2019-8-1,Farm 9,3395
2019-8-1,Farm 12,2755
2019-8-1,Farm 13,3113
2019-8-1,Farm 14,6223
2019-8-1,Farm 15,7850
2019-8-1,Farm 17,17273
2019-8-2,Farm 3,16734
2019-8-2,Farm 4,6752
2019-8-2,Farm 5,3415
2019-8-2,Farm 6,16420
2019-8-2,Farm 7,8118
2019-8-2,Farm 8,16255
2019-8-2,Farm 9,3415
2019-8-2,Farm 10,16542
2019-8-2,Farm 11,2622
2019-8-2,Farm 12,2564
2019-8-2,Farm 13,2959
2019-8-2,Farm 14,6188
2019-8-2,Farm 15,7842
2019-8-2,Farm 16,16919
2019-8-2,Farm 17,17210
2019-8-3,Farm 3,16745
2019-8-3,Farm 4,6866
2019-8-3,Farm 5,3612
2019-8-3,Farm 8,16099
2019-8-3,Farm 9,3681
2019-8-3,Farm 12,2643
2019-8-3,Farm 13,3020
2019-8-3,Farm 14,6119
2019-8-3,Farm 15,7890
2019-8-3,Farm 17,17193
2019-8-4,Farm 3,16805
2019-8-4,Farm 4,6926
2019-8-4,Farm 5,3490
2019-8-4,Farm 6,16273
2019-8-4,Farm 7,8049
2019-8-4,Farm 8,16219
2019-8-4,Farm 9,3679
2019-8-4,Farm 10,16713
2019-8-4,Farm 11,2593
2019-8-4,Farm 12,2654
2019-8-4,Farm 13,3103
2019-8-4,Farm 14,6182
2019-8-4,Farm 15,7910
2019-8-4,Farm 16,16993
2019-8-4,Farm 17,17255
2019-8-5,Farm 3,16891
2019-8-5,Farm 4,6904
2019-8-5,Farm 5,3426
2019-8-5,Farm 8,16296
2019-8-5,Farm 9,3498
2019-8-5,Farm 12,2625
2019-8-5,Farm 13,3034
2019-8-5,Farm 14,6085
2019-8-5,Farm 15,7878
2019-8-5,Farm 17,17164
2019-8-6,Farm 3,16626
2019-8-6,Farm 4,6835
2019-8-6,Farm 5,3379
2019-8-6,Farm 6,16327
2019-8-6,Farm 7,8158
2019-8-6,Farm 8,16252
2019-8-6,Farm 9,3656
2019-8-6,Farm 10,16545
2019-8-6,Farm 11,2597
2019-8-6,Farm 12,2640
2019-8-6,Farm 13,3068
2019-8-6,Farm 14,6276
2019-8-6,Farm 15,8128
2019-8-6,Farm 16,16928
2019-8-6,Farm 17,17081
2019-8-7,Farm 3,16746
2019-8-7,Farm 4,6842
2019-8-7,Farm 5,3399
2019-8-7,Farm 8,16005
2019-8-7,Farm 9,3371
2019-8-7,Farm 12,2844
2019-8-7,Farm 13,3003
2019-8-7,Farm 14,6139
2019-8-7,Farm 15,7884
2019-8-7,Farm 17,17193
2019-8-8,Farm 3,16718
2019-8-8,Farm 4,6877
2019-8-8,Farm 5,3526
2019-8-8,Farm 6,16335
2019-8-8,Farm 7,7953
2019-8-8,Farm 8,16208
2019-8-8,Farm 9,3518
2019-8-8,Farm 10,16650
2019-8-8,Farm 11,2576
2019-8-8,Farm 12,2700
2019-8-8,Farm 13,3027
2019-8-8,Farm 14,5998
2019-8-8,Farm 15,7821
2019-8-8,Farm 16,16880
2019-8-8,Farm 17,17111
2019-8-9,Farm 3,16711
2019-8-9,Farm 4,6923
2019-8-9,Farm 5,3314
2019-8-9,Farm 8,16109
