date,farm_id,weight
2019-4-1,Farm 123,2784
2019-4-1,Farm 124,2308
2019-4-2,Farm 123,2743
2019-4-2,Farm 124,2183
2019-4-2,Farm 125,9487
2019-4-3,Farm 123,2731
2019-4-3,Farm 124,2340
2019-4-4,Farm 123,2726
-,Farm 124,2359
2019-4-4,Farm 125,9664
2019-4-5,Farm 123,2761
2019-4-5,Farm 124,2346
2019-4-6,Farm 123,2842
-,Farm 124,2264
2019-4-6,Farm 125,9310
2019-4-7,Farm 123,2706
2019-4-7,Farm 124,2272
2019-4-8,Farm 123,2593
2019-4-8,Farm 124,2372
2019-4-8,Farm 125,9451
2019-4-9,Farm 123,2773
-,Farm 124,2224
-,Farm 123,2854
2019-4-10,Farm 124,2353
2019-4-10,Farm 125,9476
2019-4-11,Farm 123,2625
2019-4-11,Farm 124,2277
2019-4-12,Farm 123,2728
2019-4-12,Farm 124,2324
2019-4-12,Farm 125,-
2019-4-13,Farm 123,2700
2019-4-13,Farm 124,2435
2019-4-14,Farm 123,2741
2019-4-14,Farm 124,2239
2019-4-14,Farm 125,-
2019-4-15,Farm 123,2804
2019-4-15,Farm 124,2235
2019-4-16,Farm 123,2767
2019-4-16,Farm 124,2262
2019-4-16,Farm 125,9510
2019-4-17,Farm 123,2746
-,Farm 124,2250
2019-4-18,Farm 123,-
2019-4-18,Farm 124,2264
2019-4-18,Farm 125,9530
2019-4-19,-,2784
2019-4-19,Farm 124,2349
2019-4-20,Farm 123,2642
2019-4-20,Farm 124,2329
2019-4-20,-,9359
2019-4-21,Farm 123,2705
2019-4-21,Farm 124,2213
2019-4-22,Farm 123,2863
2019-4-22,Farm 124,2306
2019-4-22,-,9431
2019-4-23,Farm 123,2803
2019-4-23,Farm 124,2274
2019-4-24,Farm 123,2621
2019-4-24,Farm 124,2405
2019-4-24,Farm 125,9544
2019-4-25,Farm 123,2689
2019-4-25,Farm 124,2290
2019-4-26,Farm 123,2773
-,Farm 124,2348
2019-4-26,Farm 125,9462
2019-4-27,Farm 123,2691
2019-4-27,Farm 124,2300
2019-4-28,Farm 123,2697
2019-4-28,Farm 124,2314
2019-4-28,Farm 125,9422
2019-4-29,Farm 123,2688
-,Farm 124,2387
2019-4-30,Farm 123,2709
-,Farm 124,2270
2019-4-30,Farm 125,9410
