date,farm_id,weight
2019-9-1,Farm 0,6804
2019-9-1,Farm 1,8727
2019-9-1,Farm 2,3493
2019-9-2,Farm 0,6728
2019-9-2,Farm 1,8724
2019-9-2,Farm 2,3620
2019-9-3,Farm 0,6798
2019-9-3,Farm 1,8778
2019-9-3,Farm 2,3332
2019-9-4,Farm 0,6696
2019-9-4,Farm 1,8665
2019-9-4,Farm 2,3508
2019-9-5,Farm 0,6767
2019-9-5,Farm 1,8726
2019-9-5,Farm 2,3614
2019-9-6,Farm 0,6846
2019-9-6,Farm 1,8682
2019-9-6,Farm 2,3589
2019-9-7,Farm 0,6745
2019-9-7,Farm 1,8707
2019-9-7,Farm 2,3545
2019-9-8,Farm 0,6778
2019-9-8,Farm 1,8718
2019-9-8,Farm 2,3431
2019-9-9,Farm 0,6904
2019-9-9,Farm 1,8737
2019-9-9,Farm 2,3356
2019-9-10,Farm 0,6901
2019-9-10,Farm 1,8824
2019-9-10,Farm 2,3579
2019-9-11,Farm 0,6954
2019-9-11,Farm 1,8830
2019-9-11,Farm 2,3543
2019-9-12,Farm 0,6855
2019-9-12,Farm 1,8770
2019-9-12,Farm 2,3525
2019-9-13,Farm 0,6652
2019-9-13,Farm 1,8737
2019-9-13,Farm 2,3493
2019-9-14,Farm 0,6677
2019-9-14,Farm 1,8720
2019-9-14,Farm 2,3494
2019-9-15,Farm 0,6867
2019-9-15,Farm 1,8691
2019-9-15,Farm 2,3516
2019-9-16,Farm 0,6773
2019-9-16,Farm 1,8605
2019-9-16,Farm 2,3557
2019-9-17,Farm 0,6764
2019-9-17,Farm 1,8561
2019-9-17,Farm 2,3364
2019-9-18,Farm 0,6582
2019-9-18,Farm 1,8626
2019-9-18,Farm 2,3509
2019-9-19,Farm 0,6627
2019-9-19,Farm 1,8826
2019-9-19,Farm 2,3584
2019-9-20,Farm 0,6790
2019-9-20,Farm 1,8728
2019-9-20,Farm 2,3650
2019-9-21,Farm 0,6741
2019-9-21,Farm 1,8842
2019-9-21,Farm 2,3508
2019-9-22,Farm 0,6767
2019-9-22,Farm 1,8745
2019-9-22,Farm 2,3512
2019-9-23,Farm 0,6710
2019-9-23,Farm 1,8679
2019-9-23,Farm 2,3467
2019-9-24,Farm 0,6840
2019-9-24,Farm 1,8651
2019-9-24,Farm 2,3573
2019-9-25,Farm 0,6725
2019-9-25,Farm 1,8747
2019-9-25,Farm 2,3670
2019-9-26,Farm 0,6735
2019-9-26,Farm 1,8671
2019-9-26,Farm 2,3546
2019-9-27,Farm 0,6715
2019-9-27,Farm 1,8738
2019-9-27,Farm 2,3569
2019-9-28,Farm 0,6775
2019-9-28,Farm 1,8572
2019-9-28,Farm 2,3529
2019-9-29,Farm 0,6742
2019-9-29,Farm 1,8803
2019-9-29,Farm 2,3408
2019-9-30,Farm 0,6677
2019-9-30,Farm 1,8804
2019-9-30,Farm 2,3530
